OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
70	70	50	-8.1437E-01	-3.4608E-01	5.3688E-02	2.3444E-02	-2.2808E-01	-9.6335E-02	7.8362E-01	3.3323E-01
75	70	50	-6.8240E-01	-2.1653E-01	3.4605E-02	6.6989E-03	-2.0088E-01	-6.7762E-02	6.5308E-01	2.0576E-01
80	70	50	-5.5973E-01	-9.3532E-02	1.7629E-02	-6.0513E-03	-1.7487E-01	-3.7676E-02	5.3201E-01	8.5822E-02
85	70	50	-4.4393E-01	1.2906E-02	2.5031E-03	-1.2806E-02	-1.4948E-01	-7.6193E-03	4.1801E-01	-1.6507E-02
90	70	50	-3.3213E-01	9.5679E-02	-1.0170E-02	-1.3197E-02	-1.2315E-01	2.0323E-02	3.0862E-01	-9.4422E-02
0	75	50	-1.4736E+00	-1.0562E+00	2.9557E-05	-2.5465E-05	-3.8136E-01	-2.7339E-01	1.4234E+00	1.0202E+00
5	75	50	-1.4698E+00	-1.0517E+00	3.4981E-03	-1.1257E-02	-3.7703E-01	-2.8308E-01	1.4206E+00	1.0130E+00
10	75	50	-1.4648E+00	-1.0442E+00	1.2264E-02	-2.6334E-02	-3.6726E-01	-2.9570E-01	1.4180E+00	1.0018E+00
15	75	50	-1.4651E+00	-1.0396E+00	2.1733E-02	-1.8446E-02	-3.5820E-01	-2.8688E-01	1.4208E+00	9.9939E-01
20	75	50	-1.4644E+00	-1.0276E+00	2.7408E-02	7.0244E-03	-3.5253E-01	-2.5917E-01	1.4216E+00	9.9439E-01
25	75	50	-1.4541E+00	-9.8888E-01	3.0713E-02	2.1527E-02	-3.4668E-01	-2.3515E-01	1.4125E+00	9.6076E-01
30	75	50	-1.4395E+00	-9.1910E-01	3.8519E-02	1.2558E-02	-3.3536E-01	-2.2575E-01	1.4004E+00	8.9103E-01
35	75	50	-1.4317E+00	-8.3810E-01	5.4883E-02	-4.3534E-03	-3.1755E-01	-2.2112E-01	1.3972E+00	8.0841E-01
40	75	50	-1.4282E+00	-7.7211E-01	7.5575E-02	-8.5864E-03	-2.9664E-01	-2.0813E-01	1.3991E+00	7.4358E-01
45	75	50	-1.4084E+00	-7.3001E-01	9.1707E-02	4.2587E-03	-2.7595E-01	-1.8483E-01	1.3842E+00	7.0624E-01
50	75	50	-1.3513E+00	-6.9783E-01	9.6884E-02	2.3658E-02	-2.5617E-01	-1.5776E-01	1.3304E+00	6.8018E-01
55	75	50	-1.2512E+00	-6.5242E-01	9.0556E-02	3.7240E-02	-2.3635E-01	-1.3289E-01	1.2320E+00	6.3982E-01
60	75	50	-1.1191E+00	-5.7793E-01	7.6502E-02	3.9416E-02	-2.1574E-01	-1.1151E-01	1.1007E+00	5.6844E-01
65	75	50	-9.7319E-01	-4.7286E-01	5.9492E-02	3.1654E-02	-1.9442E-01	-9.1809E-02	9.5543E-01	4.6494E-01
70	75	50	-8.2851E-01	-3.4702E-01	4.2860E-02	1.8792E-02	-1.7304E-01	-7.1664E-02	8.1138E-01	3.4006E-01
75	75	50	-6.9246E-01	-2.1479E-01	2.7893E-02	5.6832E-03	-1.5228E-01	-5.0102E-02	6.7609E-01	2.0894E-01
80	75	50	-5.6595E-01	-8.9721E-02	1.4567E-02	-4.3744E-03	-1.3241E-01	-2.7447E-02	5.5044E-01	8.5531E-02
85	75	50	-4.4658E-01	1.7773E-02	2.6860E-03	-9.7903E-03	-1.1299E-01	-4.8568E-03	4.3206E-01	-1.9701E-02
90	75	50	-3.3167E-01	1.0045E-01	-7.2874E-03	-1.0250E-02	-9.2882E-02	1.6098E-02	3.1848E-01	-9.9681E-02
0	80	50	-1.4736E+00	-1.0562E+00	2.9557E-05	-2.5465E-05	-2.5585E-01	-1.8343E-01	1.4512E+00	1.0401E+00
5	80	50	-1.4704E+00	-1.0500E+00	2.4163E-03	-7.7155E-03	-2.5296E-01	-1.8992E-01	1.4485E+00	1.0327E+00
10	80	50	-1.4670E+00	-1.0400E+00	8.4359E-03	-1.8031E-02	-2.4643E-01	-1.9835E-01	1.4462E+00	1.0211E+00
15	80	50	-1.4691E+00	-1.0364E+00	1.4956E-02	-1.2639E-02	-2.4039E-01	-1.9241E-01	1.4494E+00	1.0184E+00
20	80	50	-1.4697E+00	-1.0280E+00	1.8879E-02	4.7886E-03	-2.3661E-01	-1.7379E-01	1.4506E+00	1.0132E+00
25	80	50	-1.4602E+00	-9.9122E-01	2.1144E-02	1.4736E-02	-2.3274E-01	-1.5761E-01	1.4417E+00	9.7872E-01
30	80	50	-1.4471E+00	-9.1972E-01	2.6460E-02	8.6279E-03	-2.2523E-01	-1.5121E-01	1.4297E+00	9.0724E-01
35	80	50	-1.4424E+00	-8.3568E-01	3.7657E-02	-2.9453E-03	-2.1339E-01	-1.4802E-01	1.4271E+00	8.2247E-01
40	80	50	-1.4428E+00	-7.6858E-01	5.1894E-02	-5.8732E-03	-1.9943E-01	-1.3925E-01	1.4299E+00	7.5589E-01
45	80	50	-1.4263E+00	-7.2812E-01	6.3081E-02	2.9000E-03	-1.8555E-01	-1.2358E-01	1.4156E+00	7.1756E-01
50	80	50	-1.3707E+00	-6.9880E-01	6.6784E-02	1.6213E-02	-1.7225E-01	-1.0538E-01	1.3615E+00	6.9100E-01
55	80	50	-1.2700E+00	-6.5556E-01	6.2565E-02	2.5594E-02	-1.5892E-01	-8.8632E-02	1.2616E+00	6.5005E-01
60	80	50	-1.1358E+00	-5.8161E-01	5.2987E-02	2.7175E-02	-1.4505E-01	-7.4233E-02	1.1277E+00	5.7749E-01
65	80	50	-9.8703E-01	-4.7552E-01	4.1326E-02	2.1919E-02	-1.3070E-01	-6.0988E-02	9.7921E-01	4.7210E-01
70	80	50	-8.3925E-01	-3.4781E-01	2.9895E-02	1.3120E-02	-1.1629E-01	-4.7476E-02	8.3169E-01	3.4481E-01
75	80	50	-7.0017E-01	-2.1360E-01	1.9595E-02	4.1099E-03	-1.0228E-01	-3.3043E-02	6.9293E-01	2.1107E-01
80	80	50	-5.7079E-01	-8.6981E-02	1.0416E-02	-2.8386E-03	-8.8858E-02	-1.7900E-02	5.6392E-01	8.5166E-02
85	80	50	-4.4875E-01	2.1318E-02	2.2222E-03	-6.6213E-03	-7.5737E-02	-2.8189E-03	4.4232E-01	-2.2144E-02
90	80	50	-3.3151E-01	1.0396E-01	-4.6717E-03	-7.0120E-03	-6.2167E-02	1.1146E-02	3.2566E-01	-1.0359E-01
0	85	50	-1.4736E+00	-1.0562E+00	2.9557E-05	-2.5465E-05	-1.2840E-01	-9.2079E-02	1.4680E+00	1.0522E+00
5	85	50	-1.4708E+00	-1.0489E+00	1.2608E-03	-3.9395E-03	-1.2693E-01	-9.5341E-02	1.4653E+00	1.0445E+00
10	85	50	-1.4684E+00	-1.0374E+00	4.3272E-03	-9.1731E-03	-1.2367E-01	-9.9557E-02	1.4632E+00	1.0327E+00
15	85	50	-1.4717E+00	-1.0344E+00	7.6446E-03	-6.4321E-03	-1.2065E-01	-9.6562E-02	1.4667E+00	1.0299E+00
20	85	50	-1.4729E+00	-1.0283E+00	9.6500E-03	2.4139E-03	-1.1876E-01	-8.7214E-02	1.4682E+00	1.0246E+00
25	85	50	-1.4640E+00	-9.9266E-01	1.0816E-02	7.4686E-03	-1.1682E-01	-7.9076E-02	1.4594E+00	9.8953E-01
30	85	50	-1.4518E+00	-9.2010E-01	1.3521E-02	4.3824E-03	-1.1307E-01	-7.5826E-02	1.4475E+00	9.1698E-01
35	85	50	-1.4490E+00	-8.3420E-01	1.9201E-02	-1.4877E-03	-1.0716E-01	-7.4188E-02	1.4452E+00	8.3090E-01
40	85	50	-1.4517E+00	-7.6642E-01	2.6440E-02	-2.9907E-03	-1.0019E-01	-6.9778E-02	1.4485E+00	7.6325E-01
45	85	50	-1.4373E+00	-7.2696E-01	3.2164E-02	1.4436E-03	-9.3231E-02	-6.1921E-02	1.4347E+00	7.2432E-01
50	85	50	-1.3827E+00	-6.9941E-01	3.4107E-02	8.2078E-03	-8.6532E-02	-5.2781E-02	1.3804E+00	6.9747E-01
55	85	50	-1.2816E+00	-6.5752E-01	3.2012E-02	1.3004E-02	-7.9812E-02	-4.4352E-02	1.2796E+00	6.5615E-01
60	85	50	-1.1462E+00	-5.8389E-01	2.7161E-02	1.3844E-02	-7.2837E-02	-3.7098E-02	1.1442E+00	5.8288E-01
65	85	50	-9.9563E-01	-4.7719E-01	2.1226E-02	1.1193E-02	-6.5629E-02	-3.0439E-02	9.9369E-01	4.7635E-01
70	85	50	-8.4593E-01	-3.4833E-01	1.5399E-02	6.7198E-03	-5.8387E-02	-2.3664E-02	8.4405E-01	3.4759E-01
75	85	50	-7.0499E-01	-2.1289E-01	1.0147E-02	2.1264E-03	-5.1335E-02	-1.6436E-02	7.0319E-01	2.1226E-01
80	85	50	-5.7385E-01	-8.5316E-02	5.4636E-03	-1.4210E-03	-4.4571E-02	-8.8514E-03	5.7214E-01	8.4868E-02
85	85	50	-4.5017E-01	2.3485E-02	1.2722E-03	-3.3581E-03	-3.7967E-02	-1.2985E-03	4.4857E-01	-2.3689E-02
90	85	50	-3.3148E-01	1.0611E-01	-2.2695E-03	-3.5732E-03	-3.1151E-02	5.6882E-03	3.3002E-01	-1.0602E-01
0	90	50	-1.4736E+00	-1.0562E+00	2.9557E-05	-2.5465E-05	2.9557E-05	-2.5465E-05	1.4736E+00	1.0562E+00
5	90	50	-1.4709E+00	-1.0485E+00	6.7586E-05	-4.4638E-05	6.7586E-05	-4.4638E-05	1.4709E+00	1.0485E+00
10	90	50	-1.4689E+00	-1.0366E+00	7.5024E-05	-3.3048E-05	7.5024E-05	-3.3048E-05	1.4689E+00	1.0366E+00
15	90	50	-1.4725E+00	-1.0338E+00	5.8521E-05	-2.0391E-05	5.8521E-05	-2.0391E-05	1.4725E+00	1.0338E+00
20	90	50	-1.4740E+00	-1.0283E+00	6.0206E-05	-3.1423E-05	6.0206E-05	-3.1423E-05	1.4740E+00	1.0283E+00
25	90	50	-1.4653E+00	-9.9314E-01	9.7653E-05	-4.3405E-05	9.7653E-05	-4.3405E-05	1.4653E+00	9.9314E-01
30	90	50	-1.4534E+00	-9.2022E-01	1.3094E-04	-3.0207E-05	1.3094E-04	-3.0207E-05	1.4534E+00	9.2022E-01
35	90	50	-1.4512E+00	-8.3370E-01	1.2089E-04	-1.3634E-05	1.2089E-04	-1.3634E-05	1.4512E+00	8.3370E-01
40	90	50	-1.4548E+00	-7.6570E-01	8.9227E-05	-2.8957E-05	8.9227E-05	-2.8957E-05	1.4548E+00	7.6570E-01
45	90	50	-1.4411E+00	-7.2658E-01	8.5239E-05	-6.6094E-05	8.5239E-05	-6.6094E-05	1.4411E+00	7.2658E-01
50	90	50	-1.3867E+00	-6.9963E-01	1.1677E-04	-8.3921E-05	1.1677E-04	-8.3921E-05	1.3867E+00	6.9963E-01
55	90	50	-1.2856E+00	-6.5819E-01	1.4748E-04	-6.7395E-05	1.4748E-04	-6.7395E-05	1.2856E+00	6.5819E-01
60	90	50	-1.1497E+00	-5.8467E-01	1.4827E-04	-4.1120E-05	1.4827E-04	-4.1120E-05	1.1497E+00	5.8467E-01
65	90	50	-9.9852E-01	-4.7775E-01	1.2525E-04	-3.3440E-05	1.2525E-04	-3.3440E-05	9.9852E-01	4.7775E-01
70	90	50	-8.4818E-01	-3.4849E-01	1.0128E-04	-4.7296E-05	1.0128E-04	-4.7296E-05	8.4818E-01	3.4849E-01
75	90	50	-7.0661E-01	-2.1264E-01	8.8257E-05	-6.5685E-05	8.8257E-05	-6.5685E-05	7.0661E-01	2.1264E-01
80	90	50	-5.7488E-01	-8.4742E-02	8.0352E-05	-7.2799E-05	8.0352E-05	-7.2799E-05	5.7488E-01	8.4742E-02
85	90	50	-4.5064E-01	2.4233E-02	6.5307E-05	-6.5844E-05	6.5307E-05	-6.5844E-05	4.5064E-01	-2.4233E-02
90	90	50	-3.3146E-01	1.0685E-01	3.6865E-05	-5.2204E-05	3.6865E-05	-5.2204E-05	3.3146E-01	-1.0685E-01
0	0	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04
5	0	60	-1.5618E+00	-1.0264E+00	7.3793E-06	7.6367E-05	-1.5618E+00	-1.0264E+00	7.3793E-06	7.6367E-05
10	0	60	-1.5391E+00	-9.4449E-01	3.8670E-05	1.2268E-05	-1.5391E+00	-9.4449E-01	3.8670E-05	1.2268E-05
15	0	60	-1.5087E+00	-9.6802E-01	6.6529E-05	-2.1801E-05	-1.5087E+00	-9.6802E-01	6.6529E-05	-2.1801E-05
20	0	60	-1.4525E+00	-1.0051E+00	5.7300E-05	1.0502E-06	-1.4525E+00	-1.0051E+00	5.7300E-05	1.0502E-06
25	0	60	-1.3774E+00	-9.4035E-01	2.6178E-05	3.3769E-05	-1.3774E+00	-9.4035E-01	2.6178E-05	3.3769E-05
30	0	60	-1.3119E+00	-8.3217E-01	9.8238E-06	3.0592E-05	-1.3119E+00	-8.3217E-01	9.8238E-06	3.0592E-05
35	0	60	-1.2540E+00	-7.8250E-01	1.3237E-05	6.7620E-06	-1.2540E+00	-7.8250E-01	1.3237E-05	6.7620E-06
40	0	60	-1.1793E+00	-7.7646E-01	1.2603E-05	-4.2664E-06	-1.1793E+00	-7.7646E-01	1.2603E-05	-4.2664E-06
45	0	60	-1.0863E+00	-7.4198E-01	-1.8602E-06	-9.5252E-07	-1.0863E+00	-7.4198E-01	-1.8602E-06	-9.5252E-07
50	0	60	-9.9430E-01	-6.6184E-01	-1.6346E-05	-4.2522E-07	-9.9430E-01	-6.6184E-01	-1.6346E-05	-4.2522E-07
55	0	60	-9.1245E-01	-5.6896E-01	-1.7158E-05	-1.0840E-05	-9.1245E-01	-5.6896E-01	-1.7158E-05	-1.0840E-05
60	0	60	-8.3538E-01	-4.8708E-01	-2.0814E-06	-2.7009E-05	-8.3538E-01	-4.8708E-01	-2.0814E-06	-2.7009E-05
65	0	60	-7.5782E-01	-4.1259E-01	2.3672E-05	-3.7126E-05	-7.5782E-01	-4.1259E-01	2.3672E-05	-3.7126E-05
70	0	60	-6.8042E-01	-3.3289E-01	5.0479E-05	-3.1437E-05	-6.8042E-01	-3.3289E-01	5.0479E-05	-3.1437E-05
75	0	60	-6.0519E-01	-2.4167E-01	6.7872E-05	-9.5144E-06	-6.0519E-01	-2.4167E-01	6.7872E-05	-9.5144E-06
80	0	60	-5.3146E-01	-1.4038E-01	7.0714E-05	2.0763E-05	-5.3146E-01	-1.4038E-01	7.0714E-05	2.0763E-05
85	0	60	-4.5562E-01	-3.4973E-02	6.1032E-05	5.1069E-05	-4.5562E-01	-3.4973E-02	6.1032E-05	5.1069E-05
90	0	60	-3.7218E-01	6.5580E-02	4.3472E-05	7.7977E-05	-3.7218E-01	6.5580E-02	4.3472E-05	7.7977E-05
0	5	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.5675E+00	-1.0877E+00	1.3715E-01	9.5262E-02
5	5	60	-1.5619E+00	-1.0268E+00	8.2931E-04	4.9542E-03	-1.5559E+00	-1.0225E+00	1.3696E-01	9.4426E-02
10	5	60	-1.5393E+00	-9.4526E-01	2.1709E-03	8.8252E-03	-1.5332E+00	-9.4089E-01	1.3632E-01	9.1176E-02
15	5	60	-1.5092E+00	-9.6808E-01	4.1070E-03	1.5371E-03	-1.5031E+00	-9.6426E-01	1.3562E-01	8.5905E-02
20	5	60	-1.4533E+00	-1.0044E+00	8.7592E-03	-5.8724E-03	-1.4470E+00	-1.0011E+00	1.3539E-01	8.1691E-02
25	5	60	-1.3787E+00	-9.3998E-01	1.4528E-02	-1.9985E-03	-1.3722E+00	-9.3658E-01	1.3464E-01	7.9934E-02
30	5	60	-1.3136E+00	-8.3241E-01	1.7547E-02	5.3319E-03	-1.3070E+00	-8.2878E-01	1.3196E-01	7.7861E-02
35	5	60	-1.2558E+00	-7.8264E-01	1.8724E-02	4.6592E-03	-1.2494E+00	-7.7925E-01	1.2810E-01	7.2853E-02
40	5	60	-1.1814E+00	-7.7604E-01	2.1934E-02	-1.2948E-03	-1.1750E+00	-7.7320E-01	1.2481E-01	6.6346E-02
45	5	60	-1.0888E+00	-7.4139E-01	2.6992E-02	-3.0669E-03	-1.0823E+00	-7.3883E-01	1.2179E-01	6.1561E-02
50	5	60	-9.9705E-01	-6.6165E-01	2.9786E-02	1.6072E-03	-9.9066E-01	-6.5900E-01	1.1657E-01	5.9268E-02
55	5	60	-9.1499E-01	-5.6930E-01	2.7689E-02	7.6314E-03	-9.0910E-01	-5.6647E-01	1.0733E-01	5.7220E-02
60	5	60	-8.3738E-01	-4.8766E-01	2.1669E-02	1.0261E-02	-8.3230E-01	-4.8491E-01	9.4568E-02	5.2724E-02
65	5	60	-7.5914E-01	-4.1306E-01	1.4248E-02	8.8088E-03	-7.5501E-01	-4.1073E-01	8.0357E-02	4.4776E-02
70	5	60	-6.8109E-01	-3.3308E-01	7.3323E-03	5.1822E-03	-6.7786E-01	-3.3136E-01	6.6665E-02	3.4192E-02
75	5	60	-6.0531E-01	-2.4155E-01	1.6983E-03	1.5437E-03	-6.0285E-01	-2.4050E-01	5.4448E-02	2.2590E-02
80	5	60	-5.3116E-01	-1.4007E-01	-2.5867E-03	-7.2425E-04	-5.2937E-01	-1.3960E-01	4.3717E-02	1.1486E-02
85	5	60	-4.5504E-01	-3.4661E-02	-5.6497E-03	-1.0831E-03	-4.5380E-01	-3.4623E-02	3.4031E-02	1.9419E-03
90	5	60	-3.7144E-01	6.5720E-02	-7.4740E-03	3.4382E-04	-3.7068E-01	6.5500E-02	2.4928E-02	-5.3854E-03
0	10	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.5496E+00	-1.0752E+00	2.7324E-01	1.8970E-01
5	10	60	-1.5622E+00	-1.0281E+00	1.6253E-03	9.6843E-03	-1.5381E+00	-1.0108E+00	2.7287E-01	1.8806E-01
10	10	60	-1.5400E+00	-9.4753E-01	4.2304E-03	1.7379E-02	-1.5158E+00	-9.3012E-01	2.7158E-01	1.8165E-01
15	10	60	-1.5104E+00	-9.6826E-01	8.0092E-03	3.0691E-03	-1.4861E+00	-9.5302E-01	2.7017E-01	1.7116E-01
20	10	60	-1.4558E+00	-1.0025E+00	1.7196E-02	-1.1553E-02	-1.4307E+00	-9.8923E-01	2.6973E-01	1.6270E-01
25	10	60	-1.3827E+00	-9.3889E-01	2.8632E-02	-3.9813E-03	-1.3568E+00	-9.2532E-01	2.6831E-01	1.5912E-01
30	10	60	-1.3184E+00	-8.3314E-01	3.4646E-02	1.0440E-02	-1.2924E+00	-8.1867E-01	2.6306E-01	1.5495E-01
35	10	60	-1.2611E+00	-7.8305E-01	3.7001E-02	9.1337E-03	-1.2355E+00	-7.6957E-01	2.5543E-01	1.4497E-01
40	10	60	-1.1876E+00	-7.7475E-01	4.3370E-02	-2.5928E-03	-1.1620E+00	-7.6343E-01	2.4894E-01	1.3198E-01
45	10	60	-1.0964E+00	-7.3956E-01	5.3422E-02	-6.1132E-03	-1.0705E+00	-7.2939E-01	2.4300E-01	1.2240E-01
50	10	60	-1.0053E+00	-6.6103E-01	5.9046E-02	3.0704E-03	-9.7979E-01	-6.5045E-01	2.3272E-01	1.1781E-01
55	10	60	-9.2266E-01	-5.7025E-01	5.5025E-02	1.4963E-02	-8.9909E-01	-5.5899E-01	2.1441E-01	1.1376E-01
60	10	60	-8.4343E-01	-4.8931E-01	4.3217E-02	2.0219E-02	-8.2311E-01	-4.7837E-01	1.8902E-01	1.0488E-01
65	10	60	-7.6321E-01	-4.1440E-01	2.8564E-02	1.7445E-02	-7.4665E-01	-4.0508E-01	1.6066E-01	8.9141E-02
70	10	60	-6.8325E-01	-3.3357E-01	1.4837E-02	1.0344E-02	-6.7029E-01	-3.2671E-01	1.3326E-01	6.8111E-02
75	10	60	-6.0584E-01	-2.4122E-01	3.6037E-03	3.1523E-03	-5.9601E-01	-2.3701E-01	1.0875E-01	4.4992E-02
80	10	60	-5.3042E-01	-1.3927E-01	-4.9669E-03	-1.3927E-03	-5.2322E-01	-1.3740E-01	8.7214E-02	2.2813E-02
85	10	60	-4.5334E-01	-3.3882E-02	-1.1108E-02	-2.2037E-03	-4.4838E-01	-3.3750E-02	6.7781E-02	3.7133E-03
90	10	60	-3.6916E-01	6.6011E-02	-1.4780E-02	4.9832E-04	-3.6611E-01	6.5095E-02	4.9547E-02	-1.0972E-02
0	15	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.5199E+00	-1.0546E+00	4.0726E-01	2.8269E-01
5	15	60	-1.5625E+00	-1.0302E+00	2.3706E-03	1.4124E-02	-1.5087E+00	-9.9144E-01	4.0671E-01	2.8028E-01
10	15	60	-1.5410E+00	-9.5124E-01	6.1481E-03	2.5421E-02	-1.4869E+00	-9.1225E-01	4.0479E-01	2.7075E-01
15	15	60	-1.5124E+00	-9.6857E-01	1.1643E-02	4.5442E-03	-1.4579E+00	-9.3439E-01	4.0269E-01	2.5507E-01
20	15	60	-1.4599E+00	-9.9925E-01	2.5116E-02	-1.6859E-02	-1.4036E+00	-9.6956E-01	4.0211E-01	2.4234E-01
25	15	60	-1.3893E+00	-9.3712E-01	4.1953E-02	-5.8640E-03	-1.3311E+00	-9.0671E-01	4.0011E-01	2.3688E-01
30	15	60	-1.3265E+00	-8.3432E-01	5.0868E-02	1.5173E-02	-1.2681E+00	-8.0197E-01	3.9245E-01	2.3060E-01
35	15	60	-1.2698E+00	-7.8370E-01	5.4407E-02	1.3257E-02	-1.2125E+00	-7.5357E-01	3.8121E-01	2.1564E-01
40	15	60	-1.1979E+00	-7.7261E-01	6.3836E-02	-3.9044E-03	-1.1405E+00	-7.4730E-01	3.7169E-01	1.9620E-01
45	15	60	-1.1089E+00	-7.3651E-01	7.8719E-02	-9.1025E-03	-1.0508E+00	-7.1377E-01	3.6305E-01	1.8183E-01
50	15	60	-1.0190E+00	-6.5993E-01	8.7182E-02	4.2809E-03	-9.6173E-01	-6.3633E-01	3.4795E-01	1.7494E-01
55	15	60	-9.3542E-01	-5.7173E-01	8.1527E-02	2.1685E-02	-8.8244E-01	-5.4663E-01	3.2085E-01	1.6892E-01
60	15	60	-8.5354E-01	-4.9195E-01	6.4399E-02	2.9455E-02	-8.0779E-01	-4.6756E-01	2.8312E-01	1.5578E-01
65	15	60	-7.7005E-01	-4.1650E-01	4.2983E-02	2.5506E-02	-7.3269E-01	-3.9571E-01	2.4082E-01	1.3244E-01
70	15	60	-6.8699E-01	-3.3427E-01	2.2801E-02	1.5192E-02	-6.5768E-01	-3.1895E-01	1.9983E-01	1.0119E-01
75	15	60	-6.0695E-01	-2.4057E-01	6.1893E-03	4.6773E-03	-5.8467E-01	-2.3116E-01	1.6307E-01	6.6782E-02
80	15	60	-5.2942E-01	-1.3788E-01	-6.5604E-03	-2.0271E-03	-5.1307E-01	-1.3371E-01	1.3069E-01	3.3728E-02
85	15	60	-4.5074E-01	-3.2571E-02	-1.5763E-02	-3.2984E-03	-4.3946E-01	-3.2315E-02	1.0143E-01	5.2441E-03
90	15	60	-3.6553E-01	6.6481E-02	-2.1350E-02	5.7142E-04	-3.5860E-01	6.4364E-02	7.3985E-02	-1.6655E-02
0	20	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.4786E+00	-1.0259E+00	5.3817E-01	3.7352E-01
5	20	60	-1.5631E+00	-1.0331E+00	3.0418E-03	1.8138E-02	-1.4678E+00	-9.6455E-01	5.3746E-01	3.7037E-01
10	20	60	-1.5425E+00	-9.5628E-01	7.8609E-03	3.2713E-02	-1.4468E+00	-8.8742E-01	5.3494E-01	3.5781E-01
15	20	60	-1.5151E+00	-9.6900E-01	1.4889E-02	5.9279E-03	-1.4187E+00	-9.0854E-01	5.3220E-01	3.3699E-01
20	20	60	-1.4654E+00	-9.9491E-01	3.2280E-02	-2.1624E-02	-1.3660E+00	-9.4231E-01	5.3154E-01	3.1996E-01
25	20	60	-1.3984E+00	-9.3471E-01	5.4116E-02	-7.5992E-03	-1.2955E+00	-8.8094E-01	5.2913E-01	3.1255E-01
30	20	60	-1.3375E+00	-8.3591E-01	6.5779E-02	1.9369E-02	-1.2343E+00	-7.7888E-01	5.1925E-01	3.0410E-01
35	20	60	-1.2818E+00	-7.8456E-01	7.0493E-02	1.6886E-02	-1.1804E+00	-7.3147E-01	5.0463E-01	2.8420E-01
40	20	60	-1.2119E+00	-7.6964E-01	8.2825E-02	-5.2100E-03	-1.1105E+00	-7.2501E-01	4.9234E-01	2.5834E-01
45	20	60	-1.1261E+00	-7.3226E-01	1.0229E-01	-1.1959E-02	-1.0232E+00	-6.9219E-01	4.8128E-01	2.3921E-01
50	20	60	-1.0380E+00	-6.5830E-01	1.1356E-01	5.2051E-03	-9.3653E-01	-6.1682E-01	4.6172E-01	2.3004E-01
55	20	60	-9.5317E-01	-5.7363E-01	1.0664E-01	2.7616E-02	-8.5921E-01	-5.2959E-01	4.2621E-01	2.2214E-01
60	20	60	-8.6773E-01	-4.9547E-01	8.4814E-02	3.7704E-02	-7.8639E-01	-4.5269E-01	3.7648E-01	2.0489E-01
65	20	60	-7.7975E-01	-4.1931E-01	5.7293E-02	3.2720E-02	-7.1313E-01	-3.8283E-01	3.2053E-01	1.7416E-01
70	20	60	-6.9239E-01	-3.3514E-01	3.1205E-02	1.9489E-02	-6.3996E-01	-3.0827E-01	2.6613E-01	1.3294E-01
75	20	60	-6.0872E-01	-2.3954E-01	9.6107E-03	5.9159E-03	-5.6872E-01	-2.2307E-01	2.1723E-01	8.7485E-02
80	20	60	-5.2828E-01	-1.3578E-01	-7.0663E-03	-2.8120E-03	-4.9884E-01	-1.2856E-01	1.7404E-01	4.3798E-02
85	20	60	-4.4741E-01	-3.0565E-02	-1.9203E-02	-4.5570E-03	-4.2700E-01	-3.0280E-02	1.3498E-01	6.1716E-03
90	20	60	-3.6078E-01	6.7325E-02	-2.6702E-02	3.5111E-04	-3.4815E-01	6.3384E-02	9.8301E-02	-2.2696E-02
0	25	60	-1.5735E+00	-1.0918E+00	5.6441E-06	1.0314E-04	-1.4261E+00	-9.8949E-01	6.6499E-01	4.6152E-01
5	25	60	-1.5637E+00	-1.0366E+00	3.6184E-03	2.1605E-02	-1.4157E+00	-9.3034E-01	6.6414E-01	4.5766E-01
10	25	60	-1.5442E+00	-9.6251E-01	9.3140E-03	3.9034E-02	-1.3956E+00	-8.5583E-01	6.6106E-01	4.4215E-01
15	25	60	-1.5185E+00	-9.6956E-01	1.7643E-02	7.1818E-03	-1.3687E+00	-8.7568E-01	6.5772E-01	4.1626E-01
20	25	60	-1.4723E+00	-9.8957E-01	3.8472E-02	-2.5705E-02	-1.3181E+00	-9.0772E-01	6.5709E-01	3.9491E-01
25	25	60	-1.4096E+00	-9.3171E-01	6.4768E-02	-9.1438E-03	-1.2502E+00	-8.4828E-01	6.5444E-01	3.8547E-01
30	25	60	-1.3512E+00	-8.3782E-01	7.8955E-02	2.2895E-02	-1.1912E+00	-7.4965E-01	6.4259E-01	3.7483E-01
35	25	60	-1.2967E+00	-7.8555E-01	8.4806E-02	1.9911E-02	-1.1394E+00	-7.0354E-01	6.2487E-01	3.5003E-01
40	25	60	-1.2295E+00	-7.6586E-01	9.9804E-02	-6.4709E-03	-1.0722E+00	-6.9684E-01	6.1008E-01	3.1780E-01
45	25	60	-1.1477E+00	-7.2681E-01	1.2348E-01	-1.4606E-02	-9.8801E-01	-6.6489E-01	5.9697E-01	2.9393E-01
