OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
75	15	20	-1.7266E-01	3.3161E-01	4.9493E-02	-1.1879E-02	-1.5397E-01	3.1724E-01	9.2495E-02	-9.7301E-02
80	15	20	-1.0487E-01	3.0597E-01	4.5445E-02	-1.2970E-02	-8.9532E-02	2.9218E-01	7.1038E-02	-9.1718E-02
85	15	20	-4.4142E-02	2.8273E-01	4.0320E-02	-1.2452E-02	-3.2202E-02	2.6987E-01	5.0371E-02	-8.5204E-02
90	15	20	8.7137E-03	2.6086E-01	3.4221E-02	-1.0383E-02	1.7274E-02	2.4928E-01	3.0799E-02	-7.7544E-02
0	20	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-9.7960E-01	6.0320E-01	3.5654E-01	-2.1954E-01
5	20	20	-1.0320E+00	6.4399E-01	4.3547E-03	1.6417E-03	-9.6825E-01	6.0571E-01	3.5705E-01	-2.1871E-01
10	20	20	-1.0024E+00	6.4931E-01	1.6314E-02	6.2308E-03	-9.3635E-01	6.1228E-01	3.5817E-01	-2.1622E-01
15	20	20	-9.5857E-01	6.5542E-01	3.2920E-02	1.2846E-02	-8.8950E-01	6.2028E-01	3.5879E-01	-2.1209E-01
20	20	20	-9.0662E-01	6.5890E-01	5.0417E-02	2.0126E-02	-8.3470E-01	6.2605E-01	3.5746E-01	-2.0644E-01
25	20	20	-8.5173E-01	6.5626E-01	6.5444E-02	2.6542E-02	-7.7798E-01	6.2576E-01	3.5281E-01	-1.9951E-01
30	20	20	-7.9678E-01	6.4487E-01	7.5935E-02	3.0729E-02	-7.2276E-01	6.1649E-01	3.4387E-01	-1.9168E-01
35	20	20	-7.4199E-01	6.2361E-01	8.1416E-02	3.1793E-02	-6.6940E-01	5.9687E-01	3.3028E-01	-1.8341E-01
40	20	20	-6.8565E-01	5.9315E-01	8.2714E-02	2.9494E-02	-6.1601E-01	5.6747E-01	3.1223E-01	-1.7516E-01
45	20	20	-6.2548E-01	5.5571E-01	8.1317E-02	2.4247E-02	-5.5994E-01	5.3049E-01	2.9034E-01	-1.6728E-01
50	20	20	-5.5981E-01	5.1438E-01	7.8705E-02	1.6952E-02	-4.9913E-01	4.8916E-01	2.6542E-01	-1.6000E-01
55	20	20	-4.8840E-01	4.7234E-01	7.5886E-02	8.7320E-03	-4.3299E-01	4.4684E-01	2.3835E-01	-1.5335E-01
60	20	20	-4.1250E-01	4.3222E-01	7.3245E-02	6.7370E-04	-3.6257E-01	4.0638E-01	2.0991E-01	-1.4719E-01
65	20	20	-3.3443E-01	3.9564E-01	7.0636E-02	-6.3506E-03	-2.9010E-01	3.6961E-01	1.8076E-01	-1.4128E-01
70	20	20	-2.5700E-01	3.6322E-01	6.7613E-02	-1.1754E-02	-2.1838E-01	3.3729E-01	1.5143E-01	-1.3527E-01
75	20	20	-1.8287E-01	3.3470E-01	6.3680E-02	-1.5215E-02	-1.5006E-01	3.0931E-01	1.2238E-01	-1.2877E-01
80	20	20	-1.1415E-01	3.0928E-01	5.8480E-02	-1.6611E-02	-8.7262E-02	2.8495E-01	9.3994E-02	-1.2139E-01
85	20	20	-5.2290E-02	2.8593E-01	5.1890E-02	-1.5940E-02	-3.1389E-02	2.6324E-01	6.6644E-02	-1.1277E-01
90	20	20	1.8866E-03	2.6362E-01	4.4042E-02	-1.3275E-02	1.6836E-02	2.4319E-01	4.0741E-02	-1.0264E-01
0	25	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-9.4479E-01	5.8177E-01	4.4056E-01	-2.7128E-01
5	25	20	-1.0328E+00	6.4368E-01	5.1902E-03	1.9561E-03	-9.3386E-01	5.8420E-01	4.4119E-01	-2.7026E-01
10	25	20	-1.0056E+00	6.4816E-01	1.9442E-02	7.4259E-03	-9.0313E-01	5.9057E-01	4.4259E-01	-2.6720E-01
15	25	20	-9.6498E-01	6.5306E-01	3.9229E-02	1.5312E-02	-8.5799E-01	5.9835E-01	4.4337E-01	-2.6212E-01
20	25	20	-9.1647E-01	6.5522E-01	6.0073E-02	2.3992E-02	-8.0522E-01	6.0397E-01	4.4176E-01	-2.5517E-01
25	25	20	-8.6458E-01	6.5145E-01	7.7971E-02	3.1644E-02	-7.5062E-01	6.0379E-01	4.3605E-01	-2.4663E-01
30	25	20	-8.1177E-01	6.3934E-01	9.0462E-02	3.6642E-02	-6.9748E-01	5.9493E-01	4.2506E-01	-2.3699E-01
35	25	20	-7.5816E-01	6.1797E-01	9.6984E-02	3.7919E-02	-6.4614E-01	5.7609E-01	4.0831E-01	-2.2680E-01
40	25	20	-7.0219E-01	5.8803E-01	9.8527E-02	3.5186E-02	-5.9476E-01	5.4781E-01	3.8605E-01	-2.1662E-01
45	25	20	-6.4183E-01	5.5167E-01	9.6867E-02	2.8938E-02	-5.4076E-01	5.1221E-01	3.5904E-01	-2.0692E-01
50	25	20	-5.7570E-01	5.1179E-01	9.3766E-02	2.0248E-02	-4.8213E-01	4.7240E-01	3.2828E-01	-1.9794E-01
55	25	20	-5.0374E-01	4.7139E-01	9.0428E-02	1.0455E-02	-4.1833E-01	4.3164E-01	2.9484E-01	-1.8974E-01
60	25	20	-4.2727E-01	4.3285E-01	8.7306E-02	8.5563E-04	-3.5034E-01	3.9266E-01	2.5970E-01	-1.8216E-01
65	25	20	-3.4862E-01	3.9767E-01	8.4222E-02	-7.5095E-03	-2.8036E-01	3.5724E-01	2.2366E-01	-1.7487E-01
70	25	20	-2.7049E-01	3.6632E-01	8.0641E-02	-1.3941E-02	-2.1106E-01	3.2611E-01	1.8740E-01	-1.6745E-01
75	25	20	-1.9546E-01	3.3849E-01	7.5969E-02	-1.8057E-02	-1.4505E-01	2.9915E-01	1.5146E-01	-1.5942E-01
